water_year,month,day,calendar_year,hour,sme2_dpt_C,smf1_dpt_C,smg1_dpt_C,smg2_dpt_C,smm1_dpt_C,smm2_dpt_C
2008,10,01,2007,00,-2.1,-0.8,-0.7,-1.2,-0.4,-1.0
2008,10,01,2007,01,-0.8,-0.1, 0.0,-0.3, 0.1,-0.3
2008,10,01,2007,02,-0.7,-0.2,-0.2,-0.5,-0.1,-0.4
2008,10,01,2007,03,-1.0,-0.5,-0.6,-0.8,-0.5,-0.8
2008,10,01,2007,04,-0.6,-0.3,-0.2,-0.5,-0.1,-0.4
2008,10,01,2007,05, 1.4, 1.8, 1.8, 1.5, 1.9, 1.7
2008,10,01,2007,06, 2.9, 3.8, 3.7, 3.4, 3.7, 3.3
2008,10,01,2007,07, 1.9, 3.2, 3.2, 2.7, 2.9, 2.5
2008,10,01,2007,08, 0.9, 2.1, 2.1, 1.7, 1.9, 1.5
2008,10,01,2007,09, 0.4, 1.6, 1.3, 1.0, 1.5, 1.0
2008,10,01,2007,10, 0.6, 1.8, 1.5, 1.3, 1.7, 1.2
2008,10,01,2007,11, 1.5, 2.9, 2.6, 2.3, 2.6, 2.1
2008,10,01,2007,12, 2.1, 3.5, 3.3, 3.0, 3.1, 2.6
2008,10,01,2007,13, 1.6, 2.8, 2.4, 2.2, 2.4, 2.0
2008,10,01,2007,14, 1.4, 2.8, 2.3, 1.9, 2.2, 1.8
2008,10,01,2007,15, 2.1, 3.2, 2.8, 2.4, 2.8, 2.3
2008,10,01,2007,16, 2.2, 3.2, 3.1, 2.5, 2.9, 2.5
2008,10,01,2007,17,-0.8, 0.1,-0.5,-0.9,-0.1,-0.5
2008,10,01,2007,18,-1.4,-0.0,-0.7,-1.2,-0.6,-1.1
2008,10,01,2007,19,-2.3, 0.5,-0.1,-1.4,-0.3,-1.5
2008,10,01,2007,20,-2.6,-0.4,-0.7,-1.9,-0.8,-2.0
2008,10,01,2007,21,-2.7,-0.9,-1.2,-2.0,-1.4,-2.3
2008,10,01,2007,22,-2.9,-1.2,-1.9,-1.9,-1.9,-2.3
2008,10,01,2007,23,-3.0,-1.4,-2.0,-2.1,-2.3,-2.4
2008,10,02,2007,00,-3.0,-1.7,-2.1,-2.4,-2.6,-2.4
2008,10,02,2007,01,-2.6,-1.9,-2.4,-2.5,-2.8,-2.5
2008,10,02,2007,02,-2.5,-2.1,-2.1,-2.2,-3.0,-2.2
2008,10,02,2007,03,-2.4,-2.2,-1.9,-2.0,-3.0,-2.2
2008,10,02,2007,04,-2.8,-2.1,-2.3,-2.0,-3.0,-2.4
2008,10,02,2007,05,-2.8,-2.1,-2.4,-2.2,-3.1,-2.4
2008,10,02,2007,06,-2.9,-1.8,-2.2,-2.2,-2.8,-2.4
2008,10,02,2007,07,-3.1,-0.5,-1.1,-2.5,-1.9,-2.5
2008,10,02,2007,08,-2.9, 0.2,-0.8,-2.3, 0.2,-2.2
2008,10,02,2007,09,-2.4,-0.7,-0.8,-2.0,-0.5,-1.9
