water_year,month,day,calendar_year,hour,sme2_ws_m/s,smf1_ws_m/s,smg1_ws_m/s,smg2_ws_m/s,smm1_ws_m/s,smm2_ws_m/s
2008,10,01,2007,00, 2.0, 0.5, 0.6, 3.0, 0.5, 2.1
2008,10,01,2007,01, 3.0, 0.5, 1.2, 3.0, 0.9, 2.8
2008,10,01,2007,02, 3.5, 0.5, 1.2, 2.4, 1.0, 2.9
2008,10,01,2007,03, 3.0, 0.5, 1.2, 2.9, 1.0, 3.2
2008,10,01,2007,04, 3.8, 0.6, 1.1, 3.2, 1.3, 4.4
2008,10,01,2007,05, 6.1, 1.1, 2.2, 4.5, 1.8, 6.3
2008,10,01,2007,06, 5.1, 0.7, 1.8, 4.3, 1.1, 6.0
2008,10,01,2007,07, 4.1, 0.8, 1.4, 3.8, 1.4, 4.8
2008,10,01,2007,08, 1.6, 0.5, 0.6, 1.8, 0.5, 1.7
2008,10,01,2007,09, 2.0, 0.5, 0.7, 1.9, 0.5, 2.2
2008,10,01,2007,10, 1.7, 0.5, 0.5, 1.2, 0.5, 2.1
2008,10,01,2007,11, 2.8, 0.5, 0.8, 2.3, 1.0, 3.4
2008,10,01,2007,12, 3.2, 0.7, 1.0, 2.4, 1.4, 3.8
2008,10,01,2007,13, 3.0, 0.6, 1.2, 2.7, 1.1, 3.4
2008,10,01,2007,14, 3.0, 0.8, 1.3, 2.7, 1.0, 3.3
2008,10,01,2007,15, 2.0, 0.6, 0.8, 2.0, 0.8, 2.1
2008,10,01,2007,16, 2.3, 0.5, 1.0, 2.3, 0.8, 2.8
2008,10,01,2007,17, 4.5, 1.0, 1.9, 4.6, 1.7, 5.5
2008,10,01,2007,18, 3.7, 0.6, 1.2, 3.7, 1.3, 4.7
2008,10,01,2007,19, 3.2, 0.5, 0.5, 2.3, 0.5, 2.8
2008,10,01,2007,20, 2.9, 0.5, 0.5, 1.8, 0.5, 2.5
2008,10,01,2007,21, 2.0, 0.5, 0.5, 1.1, 0.5, 1.8
2008,10,01,2007,22, 1.5, 0.5, 0.5, 1.1, 0.5, 1.4
2008,10,01,2007,23, 0.5, 0.5, 0.5, 1.2, 0.5, 0.5
2008,10,02,2007,00, 0.5, 0.5, 0.5, 1.4, 0.5, 0.5
2008,10,02,2007,01, 0.5, 0.5, 0.5, 1.3, 0.5, 0.5
2008,10,02,2007,02, 0.5, 0.5, 0.5, 1.2, 0.5, 0.7
2008,10,02,2007,03, 0.5, 0.5, 0.5, 1.5, 0.5, 0.9
2008,10,02,2007,04, 0.9, 0.5, 0.5, 1.6, 0.5, 1.1
2008,10,02,2007,05, 0.6, 0.5, 0.5, 1.1, 0.5, 0.8
2008,10,02,2007,06, 1.1, 0.5, 0.5, 1.6, 0.5, 1.4
2008,10,02,2007,07, 1.8, 0.5, 0.5, 1.8, 0.5, 1.6
2008,10,02,2007,08, 1.7, 0.5, 0.5, 1.7, 0.5, 2.3
2008,10,02,2007,09, 1.8, 0.5, 0.9, 2.5, 0.7, 2.2
2008,10,02,2007,10, 1.9, 0.6, 0.9, 2.1, 1.1, 1.9
2008,10,02,2007,11, 2.6, 0.9, 1.1, 2.5, 1.3, 2.4
2008,10,02,2007,12, 2.6, 0.9, 1.4, 2.9, 1.4, 2.9
2008,10,02,2007,13, 3.2, 1.1, 1.6, 3.1, 1.5, 3.1
2008,10,02,2007,14, 2.8, 1.0, 1.3, 2.9, 1.5, 2.9
2008,10,02,2007,15, 2.6, 0.8, 1.3, 2.4, 1.5, 2.5
2008,10,02,2007,16, 2.8, 0.5, 1.1, 2.3, 0.8, 2.6
2008,10,02,2007,17, 2.7, 0.5, 0.6, 2.0, 0.5, 2.4
2008,10,02,2007,18, 2.8, 0.5, 0.8, 2.3, 0.6, 2.4
2008,10,02,2007,19, 2.6, 0.5, 0.5, 1.8, 0.5, 2.2
2008,10,02,2007,20, 3.6, 0.5, 0.6, 2.6, 0.5, 3.3
2008,10,02,2007,21, 3.9, 0.5, 0.6, 2.6, 0.5, 3.3
2008,10,02,2007,22, 3.5, 0.5, 0.5, 2.3, 0.5, 3.0
2008,10,02,2007,23, 3.1, 0.5, 0.5, 1.9, 0.5, 2.6
2008,10,03,2007,00, 2.6, 0.5, 0.5, 1.9, 0.5, 2.5
2008,10,03,2007,01, 2.6, 0.5, 0.5, 1.6, 0.5, 2.4
2008,10,03,2007,02, 1.9, 0.5, 0.5, 1.5, 0.5, 2.0
2008,10,03,2007,03, 2.7, 0.5, 0.5, 1.8, 0.5, 2.7
2008,10,03,2007,04, 2.6, 0.5, 0.5, 1.7, 0.5, 2.8
2008,10,03,2007,05, 3.8, 0.5, 0.5, 2.9, 0.5, 4.8
2008,10,03,2007,06, 6.2, 1.0, 1.5, 4.5, 2.0, 6.7
2008,10,03,2007,07, 5.3, 1.0, 1.7, 4.3, 1.9, 6.3
2008,10,03,2007,08, 4.4, 0.9, 1.5, 3.5, 1.7, 4.9
2008,10,03,2007,09, 4.4, 0.9, 1.7, 3.8, 1.8, 4.7
2008,10,03,2007,10, 4.2, 1.2, 2.5, 4.4, 2.2, 4.9
2008,10,03,2007,11, 3.4, 1.2, 2.1, 3.6, 1.8, 3.7
2008,10,03,2007,12, 3.9, 1.3, 1.8, 3.2, 2.0, 4.3
2008,10,03,2007,13, 3.4, 1.0, 1.6, 2.9, 1.7, 3.7
2008,10,03,2007,14, 3.2, 1.1, 1.8, 2.9, 1.6, 3.3
2008,10,03,2007,15, 2.8, 1.0, 1.5, 2.7, 1.5, 3.2
2008,10,03,2007,16, 3.0, 1.0, 1.7, 2.9, 1.5, 3.7
2008,10,03,2007,17, 2.4, 0.6, 1.3, 2.2, 1.2, 2.8
2008,10,03,2007,18, 1.7, 0.5, 0.7, 1.9, 0.5, 1.8
2008,10,03,2007,19, 2.2, 0.5, 0.5, 1.9, 0.5, 1.5
2008,10,03,2007,20, 3.0, 0.5, 0.5, 1.9, 0.5, 2.1
2008,10,03,2007,21, 2.3, 0.5, 0.5, 1.5, 0.5, 2.2
2008,10,03,2007,22, 0.9, 0.5, 0.5, 0.5, 0.5, 0.9
2008,10,03,2007,23, 0.5, 0.5, 0.5, 0.6, 0.5, 0.5
2008,10,04,2007,00, 0.5, 0.5, 0.5, 1.1, 0.5, 0.5
2008,10,04,2007,01, 0.5, 0.5, 0.5, 1.0, 0.5, 0.5
2008,10,04,2007,02, 0.5, 0.5, 0.5, 0.8, 0.5, 0.5
2008,10,04,2007,03, 0.5, 0.5, 0.5, 1.1, 0.5, 0.5
2008,10,04,2007,04, 0.5, 0.5, 0.5, 1.1, 0.5, 0.5
2008,10,04,2007,05, 0.5, 0.5, 0.5, 0.7, 0.5, 0.7
2008,10,04,2007,06, 0.5, 0.5, 0.5, 0.5, 0.5, 1.1
2008,10,04,2007,07, 0.8, 0.5, 0.5, 0.9, 0.5, 1.4
2008,10,04,2007,08, 0.8, 0.5, 0.5, 1.1, 0.5, 2.8
2008,10,04,2007,09, 2.1, 0.8, 1.2, 2.5, 1.8, 3.1
2008,10,04,2007,10, 2.5, 0.9, 1.5, 2.8, 1.6, 2.8
2008,10,04,2007,11, 2.4, 0.7, 1.2, 2.6, 1.4, 2.9
2008,10,04,2007,12, 1.7, 0.6, 0.8, 1.8, 1.1, 1.8
2008,10,04,2007,13, 3.0, 0.8, 1.6, 2.6, 1.4, 3.2
2008,10,04,2007,14, 2.9, 0.8, 1.5, 2.7, 1.5, 3.3
2008,10,04,2007,15, 4.1, 1.1, 2.1, 3.9, 2.3, 4.8
2008,10,04,2007,16, 2.7, 0.5, 1.5, 2.7, 1.1, 3.2
2008,10,04,2007,17, 1.4, 0.5, 0.5, 1.0, 0.5, 1.1
2008,10,04,2007,18, 0.5, 0.5, 0.5, 0.5, 0.5, 0.7
2008,10,04,2007,19, 0.5, 0.5, 0.5, 0.5, 0.5, 0.7
2008,10,04,2007,20, 1.1, 0.5, 0.6, 1.2, 0.5, 1.5
2008,10,04,2007,21, 0.5, 0.5, 0.5, 0.6, 0.7, 1.3
2008,10,04,2007,22, 0.9, 0.5, 0.5, 1.1, 0.5, 1.2
2008,10,04,2007,23, 0.7, 0.5, 0.5, 1.3, 0.5, 1.5
2008,10,05,2007,00, 0.5, 0.5, 0.5, 0.6, 0.5, 0.9
2008,10,05,2007,01, 1.5, 0.5, 0.5, 1.0, 0.5, 1.9
2008,10,05,2007,02, 2.0, 0.5, 0.5, 0.5, 0.5, 1.0
2008,10,05,2007,03, 0.5, 0.5, 0.5, 0.5, 0.5, 1.2
2008,10,05,2007,04, 0.5, 0.5, 0.5, 0.5, 0.5, 0.8
2008,10,05,2007,05, 0.6, 0.5, 0.5, 0.7, 0.5, 0.8
2008,10,05,2007,06, 0.6, 0.5, 0.5, 0.6, 0.5, 0.6
2008,10,05,2007,07, 0.5, 0.5, 0.5, 0.7, 0.5, 1.0
2008,10,05,2007,08, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6
2008,10,05,2007,09, 1.5, 0.6, 1.0, 1.7, 1.3, 2.0
2008,10,05,2007,10, 1.9, 0.8, 1.2, 2.2, 1.8, 2.2
2008,10,05,2007,11, 2.1, 0.8, 1.6, 2.8, 1.6, 2.7
2008,10,05,2007,12, 3.3, 0.9, 1.8, 3.3, 1.8, 3.5
2008,10,05,2007,13, 3.5, 0.9, 1.7, 3.4, 1.7, 3.7
2008,10,05,2007,14, 4.1, 1.3, 2.4, 4.5, 2.3, 4.8
2008,10,05,2007,15, 4.6, 1.5, 2.7, 4.6, 2.5, 4.9
2008,10,05,2007,16, 5.3, 1.6, 2.5, 5.4, 2.6, 5.9
2008,10,05,2007,17, 5.0, 1.1, 2.0, 4.6, 2.3, 4.8
2008,10,05,2007,18, 4.4, 0.7, 1.7, 3.9, 1.7, 4.4
2008,10,05,2007,19, 5.1, 0.6, 1.2, 3.8, 1.5, 4.7
2008,10,05,2007,20, 6.0, 0.8, 1.6, 4.8, 1.9, 5.5
2008,10,05,2007,21, 5.9, 1.2, 1.6, 4.8, 1.9, 5.5
2008,10,05,2007,22, 5.5, 1.0, 2.1, 4.9, 2.0, 5.0
2008,10,05,2007,23, 3.9, 0.8, 1.5, 3.2, 1.4, 3.5
2008,10,06,2007,00, 4.2, 0.6, 0.8, 2.6, 1.2, 2.9
2008,10,06,2007,01, 2.7, 0.5, 0.8, 2.0, 0.8, 1.9
2008,10,06,2007,02, 2.8, 0.5, 0.5, 1.5, 0.9, 2.5
2008,10,06,2007,03, 3.4, 0.5, 0.5, 2.2, 1.2, 3.7
2008,10,06,2007,04, 3.5, 0.5, 0.5, 2.5, 1.3, 3.6
2008,10,06,2007,05, 2.8, 0.5, 0.5, 2.1, 0.8, 2.9
2008,10,06,2007,06, 2.7, 0.5, 0.5, 2.6, 1.1, 3.7
2008,10,06,2007,07, 2.3, 0.5, 0.5, 1.6, 0.5, 2.2
2008,10,06,2007,08, 3.0, 0.6, 0.9, 2.3, 1.1, 3.2
2008,10,06,2007,09, 3.7, 1.0, 1.8, 3.3, 2.3, 5.0
2008,10,06,2007,10, 3.6, 1.0, 1.9, 3.3, 1.9, 4.3
2008,10,06,2007,11, 4.6, 1.4, 2.3, 4.6, 2.5, 5.9
2008,10,06,2007,12, 5.1, 1.5, 3.1, 5.3, 2.7, 5.9
2008,10,06,2007,13, 5.3, 1.5, 2.8, 5.1, 2.7, 6.8
2008,10,06,2007,14, 5.1, 1.4, 2.8, 4.7, 2.4, 5.6
2008,10,06,2007,15, 5.0, 1.4, 2.6, 4.6, 2.3, 5.6
2008,10,06,2007,16, 4.6, 1.2, 2.2, 4.2, 2.2, 5.3
2008,10,06,2007,17, 4.4, 1.1, 1.9, 4.5, 1.9, 5.3
2008,10,06,2007,18, 3.0, 0.5, 0.9, 2.9, 0.7, 3.6
2008,10,06,2007,19, 1.3, 0.5, 0.5, 1.3, 0.5, 1.6
2008,10,06,2007,20, 1.7, 0.5, 0.5, 1.2, 0.5, 1.8
2008,10,06,2007,21, 1.5, 0.5, 0.5, 1.3, 0.5, 2.2
2008,10,06,2007,22, 0.9, 0.5, 0.5, 0.6, 0.5, 1.1
2008,10,06,2007,23, 1.7, 0.5, 0.5, 0.9, 0.5, 1.5
2008,10,07,2007,00, 1.2, 0.5, 0.5, 0.5, 0.5, 1.0
2008,10,07,2007,01, 1.5, 0.5, 0.5, 1.0, 0.5, 1.2
